Epoch,Batch,Time,Time_sum,Loss,Loss_avg
0,1394/12672,0.464607,652.240429,3.642668,3.932901
0,1395/12672,0.465126,652.705555,4.032361,3.932972
0,1396/12672,0.465605,653.171161,3.566723,3.932710
0,1397/12672,0.466532,653.637692,3.981224,3.932745
0,1398/12672,0.463907,654.101600,3.653030,3.932545
0,1399/12672,0.466781,654.568381,3.859422,3.932493
0,1400/12672,0.464261,655.032642,4.313467,3.932765
0,1401/12672,0.465209,655.497851,4.052897,3.932850
0,1402/12672,0.463778,655.961629,3.767754,3.932733
0,1403/12672,0.465291,656.426920,3.762329,3.932611
0,1404/12672,0.465113,656.892033,3.715133,3.932456
0,1405/12672,0.466421,657.358454,3.624338,3.932237
0,1406/12672,0.465182,657.823637,3.674272,3.932054
0,1407/12672,0.466789,658.290425,4.029387,3.932123
0,1408/12672,0.463997,658.754422,3.937155,3.932127
0,1409/12672,0.463556,659.217978,3.815761,3.932044
0,1410/12672,0.466218,659.684197,3.747088,3.931913
0,1411/12672,0.465621,660.149817,3.753527,3.931787
0,1412/12672,0.465903,660.615720,4.165597,3.931952
0,1413/12672,0.464027,661.079747,3.871492,3.931909
0,1414/12672,0.466661,661.546409,3.702865,3.931748
0,1415/12672,0.466867,662.013276,3.685401,3.931574
0,1416/12672,0.464514,662.477789,3.741253,3.931439
0,1417/12672,0.466881,662.944670,4.080843,3.931545
0,1418/12672,0.465254,663.409924,4.034293,3.931617
0,1419/12672,0.465635,663.875559,3.941408,3.931624
0,1420/12672,0.465348,664.340907,3.858749,3.931573
0,1421/12672,0.466769,664.807676,3.773408,3.931461
0,1422/12672,0.466183,665.273859,4.066576,3.931556
0,1423/12672,0.464964,665.738822,3.721147,3.931409
0,1424/12672,0.464485,666.203307,3.805406,3.931320
0,1425/12672,0.465549,666.668856,3.731009,3.931180
0,1426/12672,0.464433,667.133289,3.885823,3.931148
0,1427/12672,0.466273,667.599562,3.742342,3.931016
0,1428/12672,0.466502,668.066064,3.690792,3.930848
0,1429/12672,0.465414,668.531478,3.632845,3.930639
0,1430/12672,0.465444,668.996922,4.271116,3.930877
0,1431/12672,0.465096,669.462018,3.674328,3.930698
0,1432/12672,0.464998,669.927016,3.759613,3.930579
0,1433/12672,0.464607,670.391622,4.257472,3.930807
0,1434/12672,0.465306,670.856928,3.915301,3.930796
0,1435/12672,0.464860,671.321788,3.902333,3.930776
0,1436/12672,0.463864,671.785652,3.991234,3.930818
0,1437/12672,0.465726,672.251378,3.673243,3.930639
0,1438/12672,0.464485,672.715863,3.905526,3.930621
0,1439/12672,0.465647,673.181510,4.074122,3.930721
0,1440/12672,0.463140,673.644650,3.725427,3.930579
0,1441/12672,0.465386,674.110036,3.671394,3.930399
0,1442/12672,0.464729,674.574765,3.956658,3.930417
0,1443/12672,0.463001,675.037766,3.671279,3.930238
0,1444/12672,0.464889,675.502655,3.754311,3.930116
0,1445/12672,0.465514,675.968169,3.774802,3.930008
0,1446/12672,0.465557,676.433726,4.075617,3.930109
